OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10454,LAMAI,4,1997-02-21 00:00:00.000,1997-03-21 00:00:00.000,1997-02-25 00:00:00.000,3,2.74,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10459,VICTE,4,1997-02-27 00:00:00.000,1997-03-27 00:00:00.000,1997-02-28 00:00:00.000,2,25.09,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10470,BONAP,4,1997-03-11 00:00:00.000,1997-04-08 00:00:00.000,1997-03-14 00:00:00.000,2,64.56,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10478,VICTE,2,1997-03-18 00:00:00.000,1997-04-01 00:00:00.000,1997-03-26 00:00:00.000,3,4.81,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10480,FOLIG,6,1997-03-20 00:00:00.000,1997-04-17 00:00:00.000,1997-03-24 00:00:00.000,2,1.35,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France
10493,LAMAI,4,1997-04-02 00:00:00.000,1997-04-30 00:00:00.000,1997-04-10 00:00:00.000,3,10.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10500,LAMAI,6,1997-04-09 00:00:00.000,1997-05-07 00:00:00.000,1997-04-17 00:00:00.000,1,42.68,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10511,BONAP,4,1997-04-18 00:00:00.000,1997-05-16 00:00:00.000,1997-04-21 00:00:00.000,3,350.64,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10525,BONAP,1,1997-05-02 00:00:00.000,1997-05-30 00:00:00.000,1997-05-23 00:00:00.000,2,11.06,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10546,VICTE,1,1997-05-23 00:00:00.000,1997-06-20 00:00:00.000,1997-05-27 00:00:00.000,3,194.72,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10559,BLONP,6,1997-06-05 00:00:00.000,1997-07-03 00:00:00.000,1997-06-13 00:00:00.000,1,8.05,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10566,BLONP,9,1997-06-12 00:00:00.000,1997-07-10 00:00:00.000,1997-06-18 00:00:00.000,1,88.40,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10584,BLONP,4,1997-06-30 00:00:00.000,1997-07-28 00:00:00.000,1997-07-04 00:00:00.000,1,59.14,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10609,DUMON,7,1997-07-24 00:00:00.000,1997-08-21 00:00:00.000,1997-07-30 00:00:00.000,2,1.85,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10610,LAMAI,8,1997-07-25 00:00:00.000,1997-08-22 00:00:00.000,1997-08-06 00:00:00.000,1,26.78,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10628,BLONP,4,1997-08-12 00:00:00.000,1997-09-09 00:00:00.000,1997-08-20 00:00:00.000,3,30.36,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10631,LAMAI,8,1997-08-14 00:00:00.000,1997-09-11 00:00:00.000,1997-08-15 00:00:00.000,1,0.87,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10634,FOLIG,4,1997-08-15 00:00:00.000,1997-09-12 00:00:00.000,1997-08-21 00:00:00.000,3,487.38,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France
10663,BONAP,2,1997-09-10 00:00:00.000,1997-09-24 00:00:00.000,1997-10-03 00:00:00.000,2,113.15,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10671,FRANR,1,1997-09-17 00:00:00.000,1997-10-15 00:00:00.000,1997-09-24 00:00:00.000,1,30.34,France restauration,"54, rue Royale",Nantes,NULL,44000,France
10679,BLONP,8,1997-09-23 00:00:00.000,1997-10-21 00:00:00.000,1997-09-30 00:00:00.000,3,27.94,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10683,DUMON,2,1997-09-26 00:00:00.000,1997-10-24 00:00:00.000,1997-10-01 00:00:00.000,1,4.40,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10715,BONAP,3,1997-10-23 00:00:00.000,1997-11-06 00:00:00.000,1997-10-29 00:00:00.000,1,63.20,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10730,BONAP,5,1997-11-05 00:00:00.000,1997-12-03 00:00:00.000,1997-11-14 00:00:00.000,1,20.12,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10732,BONAP,3,1997-11-06 00:00:00.000,1997-12-04 00:00:00.000,1997-11-07 00:00:00.000,1,16.97,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10737,VINET,2,1997-11-11 00:00:00.000,1997-12-09 00:00:00.000,1997-11-18 00:00:00.000,2,7.79,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10738,SPECD,2,1997-11-12 00:00:00.000,1997-12-10 00:00:00.000,1997-11-18 00:00:00.000,1,2.91,Spécialités du monde,"25, rue Lauriston",Paris,NULL,75016,France
10739,VINET,3,1997-11-12 00:00:00.000,1997-12-10 00:00:00.000,1997-11-17 00:00:00.000,3,11.08,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10755,BONAP,4,1997-11-26 00:00:00.000,1997-12-24 00:00:00.000,1997-11-28 00:00:00.000,2,16.71,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10763,FOLIG,3,1997-12-03 00:00:00.000,1997-12-31 00:00:00.000,1997-12-08 00:00:00.000,3,37.35,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France
10787,LAMAI,2,1997-12-19 00:00:00.000,1998-01-02 00:00:00.000,1997-12-26 00:00:00.000,1,249.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10789,FOLIG,1,1997-12-22 00:00:00.000,1998-01-19 00:00:00.000,1997-12-31 00:00:00.000,2,100.60,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France
10806,VICTE,3,1997-12-31 00:00:00.000,1998-01-28 00:00:00.000,1998-01-05 00:00:00.000,2,22.11,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10814,VICTE,3,1998-01-05 00:00:00.000,1998-02-02 00:00:00.000,1998-01-14 00:00:00.000,3,130.94,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10826,BLONP,6,1998-01-12 00:00:00.000,1998-02-09 00:00:00.000,1998-02-06 00:00:00.000,1,7.09,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10827,BONAP,1,1998-01-12 00:00:00.000,1998-01-26 00:00:00.000,1998-02-06 00:00:00.000,2,63.54,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10832,LAMAI,2,1998-01-14 00:00:00.000,1998-02-11 00:00:00.000,1998-01-19 00:00:00.000,2,43.26,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10843,VICTE,4,1998-01-21 00:00:00.000,1998-02-18 00:00:00.000,1998-01-26 00:00:00.000,2,9.26,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10850,VICTE,1,1998-01-23 00:00:00.000,1998-03-06 00:00:00.000,1998-01-30 00:00:00.000,1,49.19,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10858,LACOR,2,1998-01-29 00:00:00.000,1998-02-26 00:00:00.000,1998-02-03 00:00:00.000,1,52.51,La corne d'abondance,"67, avenue de l'Europe",Versailles,NULL,78000,France
10860,FRANR,3,1998-01-29 00:00:00.000,1998-02-26 00:00:00.000,1998-02-04 00:00:00.000,3,19.26,France restauration,"54, rue Royale",Nantes,NULL,44000,France
10871,BONAP,9,1998-02-05 00:00:00.000,1998-03-05 00:00:00.000,1998-02-10 00:00:00.000,2,112.27,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10876,BONAP,7,1998-02-09 00:00:00.000,1998-03-09 00:00:00.000,1998-02-12 00:00:00.000,3,60.42,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10890,DUMON,7,1998-02-16 00:00:00.000,1998-03-16 00:00:00.000,1998-02-18 00:00:00.000,1,32.76,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10907,SPECD,6,1998-02-25 00:00:00.000,1998-03-25 00:00:00.000,1998-02-27 00:00:00.000,3,9.19,Spécialités du monde,"25, rue Lauriston",Paris,NULL,75016,France
10923,LAMAI,7,1998-03-03 00:00:00.000,1998-04-14 00:00:00.000,1998-03-13 00:00:00.000,3,68.26,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10927,LACOR,4,1998-03-05 00:00:00.000,1998-04-02 00:00:00.000,1998-04-08 00:00:00.000,1,19.79,La corne d'abondance,"67, avenue de l'Europe",Versailles,NULL,78000,France
10932,BONAP,8,1998-03-06 00:00:00.000,1998-04-03 00:00:00.000,1998-03-24 00:00:00.000,1,134.64,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10940,BONAP,8,1998-03-11 00:00:00.000,1998-04-08 00:00:00.000,1998-03-23 00:00:00.000,3,19.77,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10964,SPECD,3,1998-03-20 00:00:00.000,1998-04-17 00:00:00.000,1998-03-24 00:00:00.000,2,87.38,Spécialités du monde,"25, rue Lauriston",Paris,NULL,75016,France
10971,FRANR,2,1998-03-24 00:00:00.000,1998-04-21 00:00:00.000,1998-04-02 00:00:00.000,2,121.82,France restauration,"54, rue Royale",Nantes,NULL,44000,France
10972,LACOR,4,1998-03-24 00:00:00.000,1998-04-21 00:00:00.000,1998-03-26 00:00:00.000,2,0.02,La corne d'abondance,"67, avenue de l'Europe",Versailles,NULL,78000,France
10973,LACOR,6,1998-03-24 00:00:00.000,1998-04-21 00:00:00.000,1998-03-27 00:00:00.000,2,15.17,La corne d'abondance,"67, avenue de l'Europe",Versailles,NULL,78000,France
11043,SPECD,5,1998-04-22 00:00:00.000,1998-05-20 00:00:00.000,1998-04-29 00:00:00.000,2,8.80,Spécialités du monde,"25, rue Lauriston",Paris,NULL,75016,France
11051,LAMAI,7,1998-04-27 00:00:00.000,1998-05-25 00:00:00.000,NULL,3,2.79,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
11076,BONAP,4,1998-05-06 00:00:00.000,1998-06-03 00:00:00.000,NULL,2,38.28,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
